Тип,Назва (doc_type),Опис (найменування кирилицею)
131,load_reject,Акт відмови завантаження
132,ttn_ecmr,ETTN (v3)
133,reload_ecmr,Акт перевантаження (v3)
134,disagreement_ecmr,Акт розбіжностей (v3)
135,consignee_change_ecmr,Акт зміни пункту призначення (v3)
136,storage_delivery_ecmr,Акт розвантаження на проміжному складі (v3)
137,adjustment_ecmr,Акт коригування (v3)
138,storage_pickup_ecmr,Акт завантаження на проміжному складі (v3)
139,resealing_ecmr,Акт перепломбування (v3)
140,load_reject_ecmr,Акт відмови завантаження (v3)
141,stop_ecmr,Акт примусового завершення е-ттн (v3)
