Параметр,Формат,Опис
.. _Tariff: ,Об'єкт **Tariff**,
id,long,ідентифікатор тарифного пакету
name,String,назва тарифного пакету
price,double,вартість тарифного пакету за місяць
priceWithoutVAT,double,вартість тарифного пакету за місяць без ПДВ
limit,int,ліміт транзакцій (0=безлімітно)
currencyID,int,код валюти тарифного плану
