Параметр,Обов'язкове / необов'язкове поле, Формат, Опис
.. _Direction: ,, Об'єкт **Direction** ,
**type**, ,"enum (EQ, OR, IN)","тип вибірки; можливі значення: "" EQ "" / "" OR "" / "" IN "" * EQ - відбираються тільки документи в яких збігаються зазначені і sender, і receiver; * OR - відбираються документи в яких збігаються АБО sender, АБО receiver; * IN - відбираються документи в яких sender або receiver один з тих, які вказані в масивах sender і receiver"
sender,О/Н,List<String>,"масив; відправники; GLN відправників - обов'язковий, але може бути порожнім якщо зазначений масив GLN одержувачів (receiver)"
receiver,О/Н,List<String>,"масив; одержувачі; GLN одержувачів - обов'язковий, але може бути порожнім якщо зазначений масив GLN відправників (sender)"
