Параметр,Тип [1]_,Формат,Опис
.. _XDocApprovalStep: ,,**Об'єкт XDocApprovalStep** ,
docId,,long,id документа
scenarioId,,long,id сценарію
stepId,M,int,id кроку погодження
userId,,long,id користувача
stepStatus,,int,"статус кроку погодження

* 0 - на погодженні
* 1 - погоджено
* 2 - відхилено"
operationType,M,int,"тип операції

* 1 - проходження проміжного погодження
* 2 - завершення кінцевого погодження"
stepInfo,,String,інфо кроку погодження (текст причини відхилення на даному кроці)
dateChanged,,long,дата останньої зміни (unix timestamp)
