Параметр,Тип [1]_,Формат,Опис
.. _mintransSubscription:,,Об'єкт **mintransSubscription**,
id,,long,ідентифікатор підписки
gln,,String,GLN компанії
companyCode,,String,код ЄДРПОУ / ІПН компанії
expired,,long,термін дії підписки (unix timestamp); визначає державний керуючий орган
