Параметр, Формат, Опис
.. _DSHEAD:, Об'єкт **DSHEAD**,
C_DOC,String,код документа («EVD»)
C_DOC_SUB,String,підтип документа («006»)
C_DOC_VER,String,номер версії документа («01»)
