Порядок обміну документами,Інструкція роботи на web,Специфікація (XML),Алгоритм обміну через API
1 Замовлення (ORDER),`Створення та відправка документа «Замовлення» (ORDER) з «нуля» (ручне заповнення) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_otpravka_ORDER_na_EDI_Network_2.0.html>`__,`Замовлення (ORDER) <https://wiki.edin.ua/uk/latest/EDIN_Specs/XML/ORDER_x.html>`__,`Алгоритм «Замовлення» (ORDER) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/ORDER_API_work.html>`__
2 Підтвердження замовлення (ORDRSP),`Створення «Підтвердження замовлення» (ORDRSP) на підставі вхідного «Замовлення» (ORDER) <https://wiki.edin.ua/uk/latest/retail_2.0/ORDRSP_na_EDI_Network.html#ordrsp-order>`__,`Підтвердження замовлення (ORDRSP) <https://wiki.edin.ua/uk/latest/EDIN_Specs/XML/ORDRSP_x.html>`__,`Алгоритм «Підтвердження замовлення» (ORDRSP) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/ORDRSP_API_work.html>`__
3 Повідомлення про відвантаження (DESADV),`Створення «Повідомлення про відвантаження» (DESADV) на підставі надісланого «Підтвердження замовлення» (ORDRSP) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_otpravka_dokumenta_Uvedomlenie_ob_otgruzke_DESADV_na_EDI_Network_2.0.html#desadv-ordrsp>`__,`Повідомлення про відвантаження (DESADV) <https://wiki.edin.ua/uk/latest/EDIN_Specs/XML/DESADV_x.html>`__,`Алгоритм «Повідомлення про відвантаження» (DESADV) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/DESADV_API_work.html>`__
4 Видаткова накладна (COMDOC_006),`Формування документа «Видаткова накладна» (COMDOC_006) на підставі відправленого документа «Повідомлення про відвантаження» (DESADV) <https://wiki.edin.ua/uk/latest/retail_2.0/formirovanie_otpravka_dokumenta_Vydatkova_Nakladna_na_EDI_Network_2.0.html#comdoc-006-desadv>`__,`Видаткова накладна (COMDOC_006) <https://wiki.edin.ua/uk/latest/EDIN_Specs/XML/COMDOC_006_x.html>`__,"`Алгоритм «Видаткова накладна» (COMDOC_006) <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Work_with_API/COMDOC_006_API_work.html>`__"
