Назва поля,Тип [1]_,Формат,Опис
**<T3RXXXXG32S>** ROWNUM=«1» message=«value» **</T3RXXXXG32S>**,M/O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: серія, номер посвідчення водія. Поле обов’язково заповнюється, якщо заповнено T3RXXXXG28S / T3RXXXXG29S / T3RXXXXG31S"
**<T3RXXXXG33S>** ROWNUM=«1» message=«value» **</T3RXXXXG33S>**,M/O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: телефон водія. Поле обов’язково заповнюється, якщо заповнено T3RXXXXG28S / T3RXXXXG29S / T3RXXXXG31S / T3RXXXXG32S"
**<T3RXXXXG34S>** ROWNUM=«1» message=«value» **</T3RXXXXG34S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: ідентифікаційний код водія
**<T3RXXXXG35S>** ROWNUM=«1» message=«value» **</T3RXXXXG35S>**,O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: ідентифікаційний код (ЄДРПОУ) вантажовідправника"
**<T3RXXXXG36S>** ROWNUM=«1» message=«value» **</T3RXXXXG36S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: найменування вантажовідправника
**<T3RXXXXG37S>** ROWNUM=«1» message=«value» **</T3RXXXXG37S>**,O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: адреса вантажовідправника"
**<T3RXXXXG38S>** ROWNUM=«1» message=«value» **</T3RXXXXG38S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: ідентифікаційний код (ЄДРПОУ) вантажоодержувача
**<T3RXXXXG39S>** ROWNUM=«1» message=«value» **</T3RXXXXG39S>**,O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: найменування вантажоодержувача"
**<T3RXXXXG41S>** ROWNUM=«1» message=«value» **</T3RXXXXG41S>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: адреса вантажоодержувача
**<T3RXXXXG42S>** ROWNUM=«1» message=«value» **</T3RXXXXG42S>**,O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: Найменування вантажу (тут враховується загальний характер вантажу)"
**<T3RXXXXG7>** ROWNUM=«1» message=«value» **</T3RXXXXG7>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: адреса пункту навантаження
**<T3RXXXXG8>** ROWNUM=«1» message=«value» **</T3RXXXXG8>**,O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: код пункту навантаження за КОАТУУ / `КАТОТТГ <https://www.minregion.gov.ua/napryamki-diyalnosti/rozvytok-mistsevoho-samovryaduvannya/administratyvno/kodyfikator-administratyvno-terytorialnyh-odynycz-ta-terytorij-terytorialnyh-gromad/>`__"
**<T3RXXXXG9>** ROWNUM=«1» message=«value» **</T3RXXXXG9>**,O,String,блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: адреса пункту розвантаження
**<T3RXXXXG10>** ROWNUM=«1» message=«value» **</T3RXXXXG10>**,O,String,"блок табличної частини з n-кількістю рядків; ROWNUM - номер рядка; message: код пункту розвантаження за КОАТУУ / `КАТОТТГ <https://www.minregion.gov.ua/napryamki-diyalnosti/rozvytok-mistsevoho-samovryaduvannya/administratyvno/kodyfikator-administratyvno-terytorialnyh-odynycz-ta-terytorij-terytorialnyh-gromad/>`__"
**DECLARBODY**,,,Основні реквізити (закінчення блоку)
