Параметр,Тип [1]_,Формат,Опис
.. _FactorResponse: , Об'єкт **FactorResponse**,,
requestId,M,long,ідентифікатор заявки
status,M,int,"статус рішення;

* 2 - Прийнято
* 3 - Відхилено"
rejectComment,-/M,String,коментар фактора при відхиленні заявки (поле використовується лише при відхиленні) 
bankName,O,String,назва банку (поле використовується лише при прийнятті заявки) 
mfo,O,String,МФО (поле використовується лише при прийнятті заявки)
accountNumber,O,String,розрахунковий рахунок (поле використовується лише при прийнятті заявки)
