Параметр,Формат,Опис
.. _NotificationType: , Об'єкт,
**mail**,ServiceEvent_,об'єкт; налаштування сповіщень на електронну пошту
**ws**,ServiceEvent_,об'єкт; налаштування сповіщень в системі
