Параметр,Тип [1]_,Формат, Опис
.. _RecurrenceRule: , Об'єкт **RecurrenceRule** ,
frequency,M,enum,"об'єкт; частота, допустимі значення:

* DAILY
* WEEKLY"
interval,M,int,інтервал
count,O,int,кількість повторів події (значення розраховується: кількість з дати старту графіка)
dateUntil,O,long,дата до якої діють повтори - НЕ ЗАВЖДИ дата закінчення графіку (Unix timestamp)
byDay,-/M,List<Integer>,"масив; список номерів днів тижня по яким можливо відправляти замовлення. Парамет обов'язковий для frequency=WEEKLY (тобто потібно обрати, як мінімум 1 день тижня)"
