Параметр,Формат,Опис
.. _NotificationType: , Об'єкт,
**mail**,ServiceEvent_,об'єкт; налаштування деактивованих сповіщень на електронну пошту
**ws**,ServiceEvent_,об'єкт; налаштування деактивованих сповіщень в системі
