Параметр, Формат, Опис
.. _Katottg: , Об'єкт **Katottg** ,
id,long,ідентифікатор коду
code,String,код КАТОТТГ
name,String,назва адреси
category,String,тип населеного пункту
parent,Katottg_,об'єкт; 1-ий материнський рівень (район)
parent2,Katottg_,об'єкт; 2-ий материнський рівень (область)
