Параметр, Формат, Опис
.. _EndUserTimeInfo:, Об'єкт **EndUserTimeInfo**,
version,number,версія
isTimeAvail,boolean,присутність часу підписання
isTimeStamp,boolean,присутність мітки часу
time,Date,"час підписання в форматі 'Feb 10, 2020 2:07:42 PM' "
isSignTimeStampAvail,boolean,присутність мітки часу підписання 
signTimeStamp,Date,мітка часу підписання
