Параметр,Формат,Опис
.. _XStatus: ,**Об'єкт XStatus** ,
docId,long,id документа/квитанції
date,long,дата статусу; формат unix timestamp
type,int,"тип статусу

* 101 - документ без помилок (статус);
* 102 - документ з помилками (статус)"
text,String,текстовий коментар
