Параметр,Формат,Опис
.. _XStatus: ,**Об'єкт XStatus** ,
docId,long,id документа/квитанції
date,long,дата статусу; формат unix timestamp
type,int,"тип статусу: 

* 0 - позитивний (прийнято)
* 1 - негативний (відхилено)
* 5 - **Отримувач** відхиляє документ
* 6 - **Ініціатор** відхиляє документ
* 8 - е-ТТН відхилено Вантажовідправником
* 9 - е-ТТН відхилено Водієм / Перевізником"
text,String,зміст статусу
