Параметр, Формат, Опис
.. _EDistribexPriceQuery: , Об'єкт **EDistribexPriceQuery**,
producerName,String,назва компанії-Продавця (Виробника)
categoryName,String,категорія продукції
**regions**,List<String>,масив; область або країна наявності товару
**producerIDs**,List<Long>,масив; ідентифікатор компанії-Продавця (Виробника)
isPickup,boolean,наявність відмітки «Самовивіз!»
**limit**,Limitation_,об'єкт; фільтр відбору (налаштування виводу даних)
