Параметр, Формат, Опис
.. _SearchProducersListResponse: , Об'єкт,
**id**,Identificator_,об'єкт; інформація про організацію
**limit**,Limits_,об'єкт; фільтр відбору (налаштування виводу даних)
**regions**,List<String>,масив; область наявності товару
**categories**,List<XProductGroup_>,масив об'єктів; групи / категорії товарів
