Параметр, Формат, Опис
.. _Status: , Об'єкт **Status**,
code,int,"код;

для аукціону (тендера):

* 1 - draft - Чернетка
* 2 - active - Активний
* 3 - closed - Завершений

для заявки на аукціон (тендер):

* 1 - ACTIVE - Доступ активный
* 2 - REQUEST - Запрос доступа (не принято решение)
* 3 - BLOCKED - Запрос на доступ отклонен"
name,String,назва
description,String,опис
