Параметр,Формат,Опис
**certificates**,List<XCertificate_>,масив об'єктів; дані сертифікатів
**glns**,"Map<gln_id, Identificator_>",об'єкт; дані власника публічного сертифіката / дані користувачів з правами перегляду
