Параметр,Обов'язкове / Необов'язкове поле, Формат, Опис
.. _SIGNATURE_ORIGINATOR:,О, Об'єкт **SIGNATURE_ORIGINATOR**,
OWNER,О,«ORIGINATOR»,власник підпису
SIGN,О,String,тіло підпису в base64
