Параметр,Обов'язкове / Необов'язкове поле, Формат, Опис
.. _CONSIGNOR_ETTN:,О, Об'єкт **CONSIGNOR_ETTN**,
**SIGN_ENVELOPE**,О,CONSIGNOR_SIGN_ENVELOPE_,об'єкт; обгортка для накладання підпису Вантажовідправника на контент
**SIGNATURE**,О,SIGNATURE_ORIGINATOR_,об'єкт; підписи
