Параметр,Тип [1]_,Формат,Опис
.. _DeltaInvoiceAmount:,,Об'єкт **DeltaInvoiceAmount**,
**amount**,O,InvoiceAmount_,"об'єкт; Загальна сума з ПДВ Відхилення. Різниця між фактом та даними з ТТН, розраховується системою автоматично і тільки для тих даних, за якими вказано фактичне значення"
explanation,O,string,"причина відхилення за сумою"
