Параметр,Тип [1]_,Формат,Опис
.. _ApplicableNote:,,Об'єкт **ApplicableNote**,
contentCode,O/M,string,"Код:

* GROSSWEIGHT - Маса брутто (кг);
* DOWNTIME - Час простою (години);
* VENDOR_CODE - Артикул товару;
* QUANTITY - Кількість товару;
* URL - Посилання на документ;
* BASE_UOM - Одиниця виміру кількості;
* BUYER_CODE - Артикул покупця;
* PRICE_WITH_VAT - Ціна за одиницю з ПДВ;
* SUM_WITHOUT_VAT - Загальна сума без ПДВ;
* RETURN_TARE - Ознака «зворотня тара»;
* NET_WEIGHT - Маса нетто;
* RTP_TYPE - Тип транспортної упаковки;
* RTP_NAME - Назва транспортної упаковки;
* RTP_QUANTITY - Кількість транспортної упаковки;
* BRAND - Марка автомобіля;
* MODEL - Модель автомобіля;
* COLOR - Колір автомобіля;
* TYPE - Тип (назва) автомобіля"
content,O,decimal,Значення
