Назва поля, Тип [1]_, Формат, Опис
Discount,,Позитивне число з плаваючою точкою (2 знака після коми),Відсоток (%) зміни ціни
AgreedQuota,O,Позитивне число з плаваючою точкою (2 знака після коми),Узгоджена квота з постачальником
TaxRate,,Позитивне число з плаваючою точкою (2 знака після коми),Ставка податку
TaxCategoryCode,O,Число,Ставка НДС
**TaxReference**,O,,Податкова довідка (початок блоку)
ReferenceType,O,Рядок,Тип довідки
ReferenceNumber,O,Рядок,Номер довідки
**TaxReference**,O,,Податкова довідка (закінчення блоку)
**PackDetails**,,Деталі упаковки (початок блоку)
MinOrderedQuantity,O,Число,Мінімальна замовлена кількість
Weight,O,Число,Вага
Volume,O,Число,Об'єм
Length,O,Число,Довжина
Width,O,Число,Ширина
Height,O,Число,Висота
UnitPacksize,O,Рядок,Одиниця виміру габаритів
**PackDetails**,,Деталі упаковки (закінчення блоку)
**Line-Item**,O,,Позиція (закінчення блоку)
**Line**,O,,Рядок (закінчення блоку)
**ProductCatalogue-Lines**,O,,Таблична частина (закінчення блоку)
**ProductCatalogue-Summary**,O,,Підсумки (початок блоку)
TotalLines,O,Число (5),Кількість товарних позицій
**ProductCatalogue-Summary**,O,,Підсумки (закінчення блоку)
**Document-ProductCatalogue**,O,,Закінчення документа
