Параметр, Формат, Опис
.. _AuctionView: , Об'єкт **AuctionView**,
id,long,ідентифіктор перегляду
auctionId,long,"ідентифіктор тендера, що переглядався"
viewerId,long,"ідентифіктор користувача, що переглядав тендер"
**viewer**,User_,об'єкт; дані користувача
dateTime,long,дата і час перегляду (у форматі Unix timestamp)
