Параметр,Тип [1]_,Формат,Опис
.. _Unit: ,, Об'єкт **Unit**,
id,M,long,id одиниці виміру
code,,String,код одиниці виміру
name,,String,назва одиниці виміру
shortName,,String,коротка назва одиниці виміру
