Параметр, Формат, Опис
.. _EDistribexPriceQuery: , Об'єкт **EDistribexPriceQuery**,
producerName,String,назва компанії-Продавця (Виробника)
**producerIDs**,List<Long>,масив; ідентифікатор компанії-Продавця (Виробника)
categoryName,String,категорія продукції
**categoryIDs**,List<Long>,масив; ідентифікатор категорії товару
**regions**,List<String>,масив; область наявності товару
regionsList,List<EDistribexRegion_>,масив об'єктів; дані країн / областей України
isPickup,boolean,наявність відмітки «Самовивіз!»
**limit**,Limitation_,об'єкт; фільтр відбору (налаштування виводу даних)
