Параметр,Тип [1]_,Формат,Опис
.. _AttachedSpecifiedBinaryFile:,,Об'єкт **AttachedSpecifiedBinaryFile**,
id,M,string,Відповідає document.id із ЦБД еТТН
uriid,M,string,Посилання на документ
MIMECode,O,string,Код `MIME типізації <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
SizeMeasure,M,Long,Розмір файлу
