Параметр,Тип [1]_,Формат,Опис
.. _EcmrUnitValue:,,Об'єкт **EcmrUnitValue**,
unitCode,M,string,`Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
value,M,decimal,"Значення"
