Параметр,Тип [1]_,Формат,Опис
.. _ApplicableNote:,,Об'єкт **ApplicableNote**,
contentCode,O,string,"Код:

* GROSSWEIGHT - Маса брутто (кг) з точністю до 0,1;
* DOWNTIME - Час простою (години)"
content,O,decimal,Значення
