Параметр,Тип [1]_,Формат,Опис
.. _SimpleIdentity:,,Об'єкт **SimpleIdentity**,
id,M,string,"ідентифікатор; приймає значення в залежності від блоку, де використовується  - точніше вказано в параметрі на рівень вище"
