Параметр, Формат, Опис
.. _AccountInfo:, Об'єкт **AccountInfo**,
accountID,long,ID аккаунта
edrpouVerify,Integer,"перевірка ЕДРПОУ; 0 - ні, 1 - так"
digitalSignUnique,Integer,"перевірка унікальності електронного підпису; 0 - ні, 1 - так"
